Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Left     | Left     | 0.89   | ✅
#2     | Right    | Right    | 1.00   | ✅
#3     | Right    | Right    | 1.00   | ✅
#4     | Left     | Left     | 0.99   | ✅
#5     | Right    | Right    | 0.99   | ✅
#6     | Left     | Left     | 1.00   | ✅
#7     | Right    | Right    | 1.00   | ✅
#8     | Foot     | Foot     | 1.00   | ✅
#9     | Right    | Right    | 0.57   | ✅
#10    | Tongue   | Tongue   | 1.00   | ✅
#11    | Left     | Left     | 0.74   | ✅
#12    | Foot     | Left     | 0.83   | ❌
#13    | Right    | Right    | 1.00   | ✅
#14    | Left     | Left     | 1.00   | ✅
#15    | Tongue   | Foot     | 0.74   | ❌
#16    | Tongue   | Right    | 0.61   | ❌
#17    | Tongue   | Tongue   | 0.95   | ✅
#18    | Tongue   | Right    | 1.00   | ❌
#19    | Tongue   | Right    | 0.98   | ❌
#20    | Left     | Left     | 0.89   | ✅
#21    | Foot     | Left     | 0.69   | ❌
#22    | Right    | Right    | 1.00   | ✅
#23    | Left     | Left     | 0.96   | ✅
#24    | Left     | Left     | 1.00   | ✅
#25    | Foot     | Foot     | 0.95   | ✅
#26    | Tongue   | Tongue   | 0.99   | ✅
#27    | Left     | Left     | 1.00   | ✅
#28    | Foot     | Foot     | 1.00   | ✅
#29    | Foot     | Foot     | 0.99   | ✅
#30    | Foot     | Left     | 0.95   | ❌
#31    | Left     | Left     | 0.95   | ✅
#32    | Right    | Right    | 0.96   | ✅
#33    | Left     | Tongue   | 0.49   | ❌
#34    | Right    | Right    | 1.00   | ✅
#35    | Right    | Right    | 1.00   | ✅
#36    | Left     | Left     | 0.69   | ✅
#37    | Right    | Right    | 1.00   | ✅
#38    | Foot     | Left     | 0.65   | ❌
#39    | Right    | Right    | 1.00   | ✅
#40    | Foot     | Left     | 1.00   | ❌
#41    | Foot     | Right    | 0.56   | ❌
#42    | Tongue   | Right    | 0.99   | ❌
#43    | Foot     | Foot     | 0.94   | ✅
#44    | Foot     | Left     | 0.85   | ❌
#45    | Tongue   | Tongue   | 0.96   | ✅
#46    | Tongue   | Left     | 0.97   | ❌
#47    | Tongue   | Tongue   | 0.83   | ✅
#48    | Tongue   | Tongue   | 0.46   | ✅
#49    | Tongue   | Left     | 0.49   | ❌
#50    | Foot     | Left     | 0.99   | ❌
#51    | Right    | Foot     | 0.54   | ❌
#52    | Left     | Left     | 1.00   | ✅
#53    | Left     | Left     | 1.00   | ✅
#54    | Right    | Right    | 1.00   | ✅
#55    | Foot     | Foot     | 0.99   | ✅
#56    | Tongue   | Tongue   | 0.96   | ✅
#57    | Right    | Right    | 0.76   | ✅
#58    | Foot     | Right    | 0.53   | ❌
#59    | Left     | Left     | 0.99   | ✅
#60    | Left     | Left     | 0.99   | ✅
#61    | Left     | Left     | 1.00   | ✅
#62    | Tongue   | Tongue   | 0.96   | ✅
#63    | Right    | Right    | 1.00   | ✅
#64    | Right    | Right    | 0.87   | ✅
#65    | Left     | Left     | 0.99   | ✅
#66    | Left     | Left     | 1.00   | ✅
#67    | Foot     | Foot     | 0.96   | ✅
#68    | Left     | Left     | 0.98   | ✅
#69    | Right    | Foot     | 0.71   | ❌
#70    | Tongue   | Right    | 0.56   | ❌
#71    | Tongue   | Foot     | 0.83   | ❌
#72    | Foot     | Foot     | 0.79   | ✅
#73    | Left     | Left     | 0.99   | ✅
#74    | Tongue   | Tongue   | 0.61   | ✅
#75    | Tongue   | Left     | 1.00   | ❌
#76    | Right    | Right    | 0.66   | ✅
#77    | Tongue   | Right    | 0.89   | ❌
#78    | Tongue   | Tongue   | 1.00   | ✅
#79    | Right    | Right    | 0.76   | ✅
#80    | Left     | Left     | 1.00   | ✅
#81    | Right    | Right    | 1.00   | ✅
#82    | Foot     | Foot     | 0.97   | ✅
#83    | Foot     | Foot     | 0.54   | ✅
#84    | Foot     | Left     | 0.41   | ❌
#85    | Tongue   | Tongue   | 1.00   | ✅
#86    | Foot     | Foot     | 0.64   | ✅
#87    | Left     | Left     | 0.93   | ✅
#88    | Tongue   | Tongue   | 0.99   | ✅
#89    | Right    | Right    | 1.00   | ✅
#90    | Foot     | Left     | 0.97   | ❌
#91    | Right    | Right    | 1.00   | ✅
#92    | Foot     | Left     | 0.64   | ❌
#93    | Tongue   | Tongue   | 0.61   | ✅
#94    | Right    | Right    | 1.00   | ✅
#95    | Foot     | Foot     | 0.98   | ✅
#96    | Left     | Left     | 1.00   | ✅
#97    | Left     | Left     | 1.00   | ✅
#98    | Left     | Left     | 1.00   | ✅
#99    | Tongue   | Tongue   | 0.97   | ✅
#100   | Right    | Right    | 1.00   | ✅
#101   | Left     | Left     | 1.00   | ✅
#102   | Foot     | Foot     | 0.98   | ✅
#103   | Left     | Left     | 1.00   | ✅
#104   | Foot     | Foot     | 0.99   | ✅
#105   | Right    | Right    | 0.85   | ✅
#106   | Tongue   | Right    | 0.86   | ❌
#107   | Left     | Left     | 1.00   | ✅
#108   | Foot     | Right    | 0.47   | ❌
#109   | Foot     | Foot     | 0.96   | ✅
#110   | Left     | Left     | 0.97   | ✅
#111   | Foot     | Foot     | 0.94   | ✅
#112   | Right    | Right    | 1.00   | ✅
#113   | Tongue   | Tongue   | 0.84   | ✅
#114   | Tongue   | Right    | 0.50   | ❌
#115   | Tongue   | Right    | 0.74   | ❌
#116   | Foot     | Right    | 0.56   | ❌
#117   | Left     | Left     | 0.99   | ✅
#118   | Tongue   | Foot     | 0.67   | ❌
#119   | Right    | Right    | 0.99   | ✅
#120   | Tongue   | Tongue   | 0.47   | ✅
#121   | Right    | Right    | 1.00   | ✅
#122   | Left     | Left     | 1.00   | ✅
#123   | Foot     | Foot     | 0.99   | ✅
#124   | Right    | Right    | 1.00   | ✅
#125   | Left     | Left     | 1.00   | ✅
#126   | Foot     | Left     | 0.76   | ❌
#127   | Foot     | Left     | 0.73   | ❌
#128   | Left     | Left     | 0.85   | ✅
#129   | Foot     | Left     | 0.98   | ❌
#130   | Tongue   | Tongue   | 0.99   | ✅
#131   | Tongue   | Tongue   | 1.00   | ✅
#132   | Right    | Right    | 1.00   | ✅
#133   | Left     | Left     | 1.00   | ✅
#134   | Right    | Right    | 1.00   | ✅
#135   | Tongue   | Left     | 0.94   | ❌
#136   | Right    | Right    | 1.00   | ✅
#137   | Tongue   | Tongue   | 1.00   | ✅
#138   | Foot     | Foot     | 0.76   | ✅
#139   | Right    | Right    | 1.00   | ✅
#140   | Right    | Right    | 1.00   | ✅
#141   | Right    | Right    | 0.98   | ✅
#142   | Foot     | Right    | 0.84   | ❌
#143   | Tongue   | Tongue   | 1.00   | ✅
#144   | Left     | Left     | 1.00   | ✅
#145   | Right    | Right    | 0.99   | ✅
#146   | Tongue   | Tongue   | 0.96   | ✅
#147   | Left     | Left     | 0.99   | ✅
#148   | Foot     | Foot     | 0.84   | ✅
#149   | Foot     | Foot     | 0.99   | ✅
#150   | Tongue   | Tongue   | 0.96   | ✅
#151   | Left     | Right    | 0.88   | ❌
#152   | Left     | Left     | 1.00   | ✅
#153   | Foot     | Foot     | 0.88   | ✅
#154   | Right    | Right    | 1.00   | ✅
#155   | Tongue   | Tongue   | 1.00   | ✅
#156   | Tongue   | Tongue   | 1.00   | ✅
#157   | Tongue   | Left     | 0.95   | ❌
#158   | Right    | Right    | 0.89   | ✅
#159   | Left     | Left     | 1.00   | ✅
#160   | Foot     | Right    | 0.67   | ❌
#161   | Right    | Right    | 1.00   | ✅
#162   | Tongue   | Tongue   | 0.90   | ✅
#163   | Left     | Left     | 1.00   | ✅
#164   | Tongue   | Tongue   | 0.85   | ✅
#165   | Foot     | Left     | 0.96   | ❌
#166   | Right    | Right    | 1.00   | ✅
#167   | Tongue   | Tongue   | 1.00   | ✅
#168   | Tongue   | Tongue   | 0.95   | ✅
#169   | Left     | Left     | 0.97   | ✅
#170   | Right    | Right    | 1.00   | ✅
#171   | Right    | Right    | 1.00   | ✅
#172   | Foot     | Left     | 0.93   | ❌
#173   | Tongue   | Right    | 1.00   | ❌
#174   | Right    | Right    | 1.00   | ✅
#175   | Left     | Left     | 0.62   | ✅
#176   | Left     | Left     | 1.00   | ✅
#177   | Tongue   | Tongue   | 0.99   | ✅
#178   | Right    | Tongue   | 0.83   | ❌
#179   | Left     | Left     | 0.99   | ✅
#180   | Foot     | Foot     | 0.73   | ✅
#181   | Right    | Right    | 1.00   | ✅
#182   | Right    | Right    | 1.00   | ✅
#183   | Foot     | Foot     | 1.00   | ✅
#184   | Left     | Left     | 1.00   | ✅
#185   | Tongue   | Tongue   | 0.57   | ✅
#186   | Foot     | Foot     | 0.81   | ✅
#187   | Foot     | Left     | 0.99   | ❌
#188   | Foot     | Foot     | 0.98   | ✅
#189   | Foot     | Left     | 0.67   | ❌
#190   | Left     | Left     | 0.42   | ✅
#191   | Right    | Right    | 1.00   | ✅
#192   | Left     | Left     | 1.00   | ✅
#193   | Right    | Right    | 0.75   | ✅
#194   | Left     | Left     | 1.00   | ✅
#195   | Left     | Left     | 1.00   | ✅
#196   | Foot     | Left     | 0.54   | ❌
#197   | Foot     | Right    | 0.71   | ❌
#198   | Right    | Right    | 1.00   | ✅
#199   | Foot     | Foot     | 0.94   | ✅
#200   | Tongue   | Tongue   | 0.99   | ✅
#201   | Left     | Left     | 0.86   | ✅
#202   | Tongue   | Right    | 0.97   | ❌
#203   | Left     | Left     | 1.00   | ✅
#204   | Left     | Left     | 1.00   | ✅
#205   | Right    | Right    | 1.00   | ✅
#206   | Tongue   | Tongue   | 1.00   | ✅
#207   | Foot     | Foot     | 0.98   | ✅
#208   | Right    | Right    | 0.98   | ✅
#209   | Tongue   | Tongue   | 1.00   | ✅
#210   | Foot     | Right    | 0.88   | ❌
#211   | Tongue   | Tongue   | 1.00   | ✅
#212   | Foot     | Foot     | 0.90   | ✅
#213   | Tongue   | Left     | 0.51   | ❌
#214   | Right    | Right    | 1.00   | ✅
#215   | Right    | Right    | 0.79   | ✅
#216   | Tongue   | Tongue   | 0.56   | ✅
#217   | Left     | Left     | 1.00   | ✅
#218   | Right    | Right    | 0.92   | ✅
#219   | Right    | Right    | 1.00   | ✅
#220   | Right    | Right    | 1.00   | ✅
#221   | Foot     | Right    | 0.96   | ❌
#222   | Tongue   | Tongue   | 1.00   | ✅
#223   | Left     | Left     | 0.77   | ✅
#224   | Tongue   | Right    | 0.99   | ❌
#225   | Left     | Right    | 1.00   | ❌
#226   | Foot     | Foot     | 0.98   | ✅
#227   | Left     | Left     | 1.00   | ✅
#228   | Tongue   | Tongue   | 0.54   | ✅
#229   | Left     | Left     | 1.00   | ✅
#230   | Foot     | Right    | 0.98   | ❌
#231   | Left     | Left     | 1.00   | ✅
#232   | Right    | Right    | 1.00   | ✅
#233   | Foot     | Foot     | 0.98   | ✅
#234   | Foot     | Left     | 0.98   | ❌
#235   | Tongue   | Tongue   | 0.98   | ✅
#236   | Left     | Left     | 0.96   | ✅
#237   | Right    | Right    | 1.00   | ✅
#238   | Tongue   | Tongue   | 0.98   | ✅
#239   | Right    | Right    | 1.00   | ✅
#240   | Foot     | Right    | 0.76   | ❌
#241   | Foot     | Foot     | 0.49   | ✅
#242   | Left     | Left     | 1.00   | ✅
#243   | Tongue   | Tongue   | 1.00   | ✅
#244   | Right    | Right    | 1.00   | ✅
#245   | Tongue   | Tongue   | 1.00   | ✅
#246   | Left     | Left     | 1.00   | ✅
#247   | Left     | Left     | 1.00   | ✅
#248   | Foot     | Left     | 0.82   | ❌
#249   | Foot     | Foot     | 0.97   | ✅
#250   | Right    | Right    | 0.99   | ✅
#251   | Tongue   | Tongue   | 0.95   | ✅
#252   | Right    | Right    | 1.00   | ✅
#253   | Right    | Right    | 1.00   | ✅
#254   | Left     | Left     | 1.00   | ✅
#255   | Right    | Right    | 0.95   | ✅
#256   | Tongue   | Right    | 0.89   | ❌
#257   | Tongue   | Tongue   | 0.70   | ✅
#258   | Right    | Right    | 0.95   | ✅
#259   | Right    | Right    | 1.00   | ✅
#260   | Right    | Right    | 1.00   | ✅
#261   | Right    | Right    | 1.00   | ✅
#262   | Tongue   | Tongue   | 0.97   | ✅
#263   | Tongue   | Tongue   | 0.99   | ✅
#264   | Foot     | Foot     | 0.98   | ✅
#265   | Tongue   | Tongue   | 1.00   | ✅
#266   | Left     | Left     | 0.99   | ✅
#267   | Right    | Right    | 1.00   | ✅
#268   | Foot     | Right    | 0.99   | ❌
#269   | Right    | Right    | 0.99   | ✅
#270   | Left     | Left     | 1.00   | ✅
#271   | Tongue   | Right    | 0.65   | ❌
#272   | Left     | Left     | 0.89   | ✅
#273   | Tongue   | Tongue   | 0.35   | ✅
#274   | Left     | Left     | 1.00   | ✅
#275   | Left     | Left     | 1.00   | ✅
#276   | Left     | Left     | 0.99   | ✅
#277   | Left     | Left     | 0.99   | ✅
#278   | Foot     | Foot     | 0.46   | ✅
#279   | Foot     | Foot     | 0.99   | ✅
#280   | Tongue   | Tongue   | 0.41   | ✅
#281   | Right    | Right    | 0.96   | ✅
#282   | Foot     | Foot     | 0.36   | ✅
#283   | Foot     | Foot     | 0.98   | ✅
#284   | Foot     | Right    | 0.93   | ❌
#285   | Tongue   | Tongue   | 1.00   | ✅
#286   | Foot     | Foot     | 0.98   | ✅
#287   | Left     | Left     | 1.00   | ✅
#288   | Foot     | Left     | 0.99   | ❌
